Generating random hostid in /etc/hostid: 7443f6c5
Startup command: exec "Orthanc /tmp/orthanc.json"
W1022 15:21:05.928558             MAIN postgresql-index:/IndexBackend.cpp:3034] The index plugin will use 50 connection(s) to the database, and will retry up to 10 time(s) in the case of a collision
W1022 15:21:05.929011             MAIN PluginsManager.cpp:287] Registering plugin 'postgresql-storage' (version 9.0)
W1022 15:21:05.929269             MAIN postgresql-storage:/PostgreSQLParameters.cpp:110] PostgreSQL: using READ COMMITTED transaction mode
W1022 15:21:05.949796             MAIN postgresql-storage:/StorageBackend.cpp:698] The storage area plugin will retry up to 10 time(s) in the case of a collision
W1022 15:21:05.950068             MAIN PluginsManager.cpp:287] Registering plugin 'worklists' (version 1.12.9)
W1022 15:21:05.950093             MAIN worklists:/Plugin.cpp:229] Sample worklist plugin is initializing
W1022 15:21:05.950329             MAIN worklists:/Plugin.cpp:242] The database of worklists will be read from folder: /worklists
W1022 15:21:05.950695             MAIN PluginsManager.cpp:287] Registering plugin 'orthanc-explorer-2' (version 1.9.4)
W1022 15:21:05.951154             MAIN PluginsManager.cpp:158] Root URI to the Orthanc-Explorer 2 application: /ui/
W1022 15:21:05.951286             MAIN main.cpp:1791] Using a custom database from plugins
W1022 15:21:05.951301             MAIN main.cpp:1802] Using a custom storage area from plugins
W1022 15:21:05.972169             MAIN postgresql-index:/PostgreSQLIndex.cpp:142] The database schema already exists, checking if it needs to be updated
W1022 15:21:05.973479             MAIN postgresql-index:/PostgreSQLIndex.cpp:157] Current Database revision is 6
W1022 15:21:06.623191             MAIN main.cpp:1757] The DB latency is 187 µs
W1022 15:21:06.623256             MAIN HttpClient.cpp:1211] The verification of the peers in HTTPS requests is disabled
W1022 15:21:06.623762             MAIN LuaContext.cpp:95] Lua says: Lua toolbox installed
E1022 15:21:06.623855             MAIN OrthancException.cpp:62] The specified path does not point to a regular file: The path does not point to a regular file: /lua/hooks.lua
E1022 15:21:06.624012             MAIN ServerIndex.cpp:369] INTERNAL ERROR: ServerIndex::Stop() should be invoked manually to avoid mess in the destruction order!
W1022 15:21:07.127773             MAIN PluginsManager.cpp:224] Unregistering plugin 'dicom-web' (version 1.21)
W1022 15:21:07.127957             MAIN PluginsManager.cpp:224] Unregistering plugin 'gdcm' (version 1.8)
W1022 15:21:07.138333             MAIN PluginsManager.cpp:224] Unregistering plugin 'orthanc-explorer-2' (version 1.9.4)
W1022 15:21:07.142847             MAIN PluginsManager.cpp:224] Unregistering plugin 'postgresql-index' (version 9.0)
W1022 15:21:07.142872             MAIN postgresql-index:/IndexPlugin.cpp:108] PostgreSQL index is finalizing
W1022 15:21:07.142993             MAIN PluginsManager.cpp:224] Unregistering plugin 'postgresql-storage' (version 9.0)
W1022 15:21:07.143013             MAIN postgresql-storage:/StoragePlugin.cpp:87] PostgreSQL storage area is finalizing
W1022 15:21:07.143636             MAIN PluginsManager.cpp:224] Unregistering plugin 'worklists' (version 1.12.9)
W1022 15:21:07.143657             MAIN worklists:/Plugin.cpp:265] Sample worklist plugin is finalizing
E1022 15:21:07.143716             MAIN main.cpp:2185] Uncaught exception, stopping now: [The specified path does not point to a regular file] (code 2006)
W1022 15:21:07.143745             MAIN main.cpp:2216] Orthanc has stopped
Startup command: exec "Orthanc /tmp/orthanc.json"
W1022 15:21:08.198258             MAIN main.cpp:2128] Orthanc version: 1.12.9
W1022 15:21:08.198417             MAIN OrthancConfiguration.cpp:59] Reading the configuration from: "/tmp/orthanc.json"
W1022 15:21:08.225829             MAIN main.cpp:952] Loading plugin(s) from: /run/orthanc/plugins
W1022 15:21:08.225858             MAIN PluginsManager.cpp:259] Inexistent path to plugins: /run/orthanc/plugins
W1022 15:21:08.225866             MAIN main.cpp:952] Loading plugin(s) from: /usr/share/orthanc/plugins
W1022 15:21:08.226314             MAIN PluginsManager.cpp:287] Registering plugin 'dicom-web' (version 1.21)
W1022 15:21:08.226608             MAIN dicom-web:/Plugin.cpp:635] URI to the DICOMweb REST API: /dicom-web/
W1022 15:21:08.226874             MAIN dicom-web:/Plugin.cpp:748] DICOMweb public root: /dicom-web/
W1022 15:21:08.226904             MAIN dicom-web:/Plugin.cpp:750] The DICOMWeb plugin will use 1 threads to load DICOM files for WADO-RS queries
W1022 15:21:08.226911             MAIN dicom-web:/Plugin.cpp:761] URI to the WADO-URI API: /wado
W1022 15:21:08.237620             MAIN PluginsManager.cpp:287] Registering plugin 'gdcm' (version 1.8)
W1022 15:21:08.237937             MAIN PluginsManager.cpp:158] Gdcm.RestrictTransferSyntaxes configuration is set and not empty, Orthanc will use GDCM to transcode SOME transfer syntaxes:
W1022 15:21:08.237955             MAIN PluginsManager.cpp:158] Orthanc will use GDCM to decode transfer syntax: 1.2.840.10008.1.2.4.90
W1022 15:21:08.237961             MAIN PluginsManager.cpp:158] Orthanc will use GDCM to decode transfer syntax: 1.2.840.10008.1.2.4.91
W1022 15:21:08.237965             MAIN PluginsManager.cpp:158] Orthanc will use GDCM to decode transfer syntax: 1.2.840.10008.1.2.4.92
W1022 15:21:08.237970             MAIN PluginsManager.cpp:158] Orthanc will use GDCM to decode transfer syntax: 1.2.840.10008.1.2.4.93
W1022 15:21:08.237976             MAIN PluginsManager.cpp:158] Throttling GDCM to 4 concurrent thread(s)
W1022 15:21:08.237987             MAIN PluginsManager.cpp:158] Version of GDCM: 3.0.24
W1022 15:21:08.243729             MAIN PluginsManager.cpp:287] Registering plugin 'postgresql-index' (version 9.0)
W1022 15:21:08.244017             MAIN postgresql-index:/PostgreSQLParameters.cpp:110] PostgreSQL: using READ COMMITTED transaction mode
W1022 15:21:08.244040             MAIN postgresql-index:/IndexBackend.cpp:3034] The index plugin will use 50 connection(s) to the database, and will retry up to 10 time(s) in the case of a collision
W1022 15:21:08.244423             MAIN PluginsManager.cpp:287] Registering plugin 'postgresql-storage' (version 9.0)
W1022 15:21:08.244679             MAIN postgresql-storage:/PostgreSQLParameters.cpp:110] PostgreSQL: using READ COMMITTED transaction mode
W1022 15:21:08.264356             MAIN postgresql-storage:/StorageBackend.cpp:698] The storage area plugin will retry up to 10 time(s) in the case of a collision
W1022 15:21:08.264587             MAIN PluginsManager.cpp:287] Registering plugin 'worklists' (version 1.12.9)
W1022 15:21:08.264611             MAIN worklists:/Plugin.cpp:229] Sample worklist plugin is initializing
W1022 15:21:08.264860             MAIN worklists:/Plugin.cpp:242] The database of worklists will be read from folder: /worklists
W1022 15:21:08.265207             MAIN PluginsManager.cpp:287] Registering plugin 'orthanc-explorer-2' (version 1.9.4)
W1022 15:21:08.265623             MAIN PluginsManager.cpp:158] Root URI to the Orthanc-Explorer 2 application: /ui/
W1022 15:21:08.265761             MAIN main.cpp:1791] Using a custom database from plugins
W1022 15:21:08.265776             MAIN main.cpp:1802] Using a custom storage area from plugins
W1022 15:21:08.282479             MAIN postgresql-index:/PostgreSQLIndex.cpp:142] The database schema already exists, checking if it needs to be updated
W1022 15:21:08.283587             MAIN postgresql-index:/PostgreSQLIndex.cpp:157] Current Database revision is 6
W1022 15:21:08.897379             MAIN main.cpp:1757] The DB latency is 163 µs
W1022 15:21:08.897423             MAIN HttpClient.cpp:1211] The verification of the peers in HTTPS requests is disabled
W1022 15:21:08.897926             MAIN LuaContext.cpp:95] Lua says: Lua toolbox installed
E1022 15:21:08.898009             MAIN OrthancException.cpp:62] The specified path does not point to a regular file: The path does not point to a regular file: /lua/hooks.lua
E1022 15:21:08.898242             MAIN ServerIndex.cpp:369] INTERNAL ERROR: ServerIndex::Stop() should be invoked manually to avoid mess in the destruction order!
W1022 15:21:09.401955             MAIN PluginsManager.cpp:224] Unregistering plugin 'dicom-web' (version 1.21)
W1022 15:21:09.402131             MAIN PluginsManager.cpp:224] Unregistering plugin 'gdcm' (version 1.8)
W1022 15:21:09.410138             MAIN PluginsManager.cpp:224] Unregistering plugin 'orthanc-explorer-2' (version 1.9.4)
W1022 15:21:09.411857             MAIN PluginsManager.cpp:224] Unregistering plugin 'postgresql-index' (version 9.0)
W1022 15:21:09.411881             MAIN postgresql-index:/IndexPlugin.cpp:108] PostgreSQL index is finalizing
W1022 15:21:09.412001             MAIN PluginsManager.cpp:224] Unregistering plugin 'postgresql-storage' (version 9.0)
W1022 15:21:09.412021             MAIN postgresql-storage:/StoragePlugin.cpp:87] PostgreSQL storage area is finalizing
W1022 15:21:09.412647             MAIN PluginsManager.cpp:224] Unregistering plugin 'worklists' (version 1.12.9)
W1022 15:21:09.412667             MAIN worklists:/Plugin.cpp:265] Sample worklist plugin is finalizing
E1022 15:21:09.412769             MAIN main.cpp:2185] Uncaught exception, stopping now: [The specified path does not point to a regular file] (code 2006)
W1022 15:21:09.412970             MAIN main.cpp:2216] Orthanc has stopped
Startup command: exec "Orthanc /tmp/orthanc.json"
